x,y,Households,Population Density (Per Sq. Mile),Median Household Income (In 2010 Inflation Adjusted Dollars),Area (Land),Average Household Size,Climate Zone,Ave Max Temp,PreMax,CES 2.0 Score,% Total Population: Under 18 Years,% Total Population: 18 to 64 Years,% Total Population: 65 and Over,% Total Population: Not Hispanic or Latino: White Alone,% Total Population: Not Hispanic or Latino: Black or African American Alone,% Total Population: Hispanic or Latino,%Unemployed: 16 years and over,% Occupied Housing Units: Renter Occupied,% Low Birth Weight,%Building age: 2000 or later,%Building age: 1960-1999,%Building age: 1959 or earlier,%Vacant Housing Units,% Ozone,% PM2.5,% Drinking Water,% Traffic,% Groundwater Threats,% Imp. Water Bodies,% Solid Waste
-118.3059998,33.7262001,304,8899.503,83036,0.081689954,2.39,6,66.73466492,1.183366776,10.9778109,18.43,54.47,27.1,58.87,2.48,36.86,45.26,24.01,11.54615962,0,9.53,90.47,3.289473684,0,59.10120846,22.23055764,17.64999376,15.52540234,41.97695035,0
-118.3239975,33.7228012,1043,4729.18,92723,0.458007527,2.07,6,66.69769182,1.183366776,12.40011694,13.3,49.95,36.75,66.25,2.49,17.77,44.85,21.38,65.93695271,3.45,53.78,42.76,9.012464046,0,60.46072508,22.23055764,22.77659973,15.52540234,48.98049645,0
-118.3040009,33.7328987,457,7424.506,68313,0.11933453,1.9,6,66.75345739,1.183366776,12.77674242,13.88,60.94,25.17,62.53,1.24,32.05,46.65,40.26,22.20415311,0,21.66,78.33,63.6761488,0,61.3796576,22.23055764,22.45228889,5.269801199,0,0
-118.4680023,34.3023987,544,8981.067,52059,0.246184538,4.04,9,65.82522038,1.243023396,46.34855449,33.88,57.3,8.82,2.4,0,92.58,29.54,52.76,24.3057293,6.43,70.77,22.8,4.779411765,85.87182356,51.06998993,69.09227307,96.53236872,42.50552225,0,71.76021158
-118.288002,33.8834991,304,14330.02,37906,0.0905093,4.17,8,67.07343674,1.108458996,57.67298524,31.69,61.6,6.71,2.62,4.93,85.12,30.56,87.5,72.92969727,0.33,39.48,60.2,17.43421053,0,74.60976838,74.56864216,90.68230011,90.31240139,0,95.70966794
-118.2860031,33.9017982,248,3487.692,71964,0.299911814,4.22,8,67.11409098,1.100436568,55.09178134,21.61,69.69,8.7,7.27,13.19,67.59,11.8,12.5,89.24193145,1.61,18.96,79.44,5.241935484,0,76.52316213,74.56864216,92.60321816,87.89839066,0,93.77020276
-118.3590012,34.1666985,483,14882.88,34883,0.087214304,2.48,9,66.41235679,0.932362139,41.34583465,22.65,60.71,16.64,43.3,7.94,34.21,22.82,74.74,84.47585689,10.97,39.96,49.07,0,62.10644079,68.1898288,69.09227307,32.74292129,96.49731777,0,69.11548634
-118.2900009,33.8997002,241,10608.19,53207,0.070417315,3.1,8,67.09876251,1.09663558,55.09178134,19.41,67.47,13.12,4.15,6.02,80.86,20.8,13.28,89.24193145,10.37,0,89.63,0,0,76.52316213,74.56864216,92.60321816,87.89839066,0,93.77020276
-118.2870026,33.9127998,630,7890.328,35000,0.270837934,3.39,8,67.12766838,1.096549988,56.05335669,33.6,61.87,4.54,0.14,28.17,65.61,22.28,69.37,93.60770578,4.44,38.1,57.47,3.492063492,0.974908103,78.10926485,74.56864216,87.97555195,69.73808772,0,60.94622392
-118.2979965,34.0091019,373,26947.72,27292,0.059856648,4.28,8,67.25053215,1.162947774,47.78094188,36.33,60.2,3.47,0,29.94,70.06,32.72,76.14,94.03302477,0,30.56,69.44,13.67292225,27.34537318,85.02014099,74.56864216,55.79393788,0,0,0
-118.375,34.1702995,1145,18319.67,41857,0.12871411,2.05,9,66.31218815,0.95107466,41.34583465,12.55,85.54,1.91,36.64,12.85,43.77,17,98.34,84.47585689,52.84,34.42,12.75,7.161572052,62.10644079,68.1898288,69.09227307,32.74292129,96.49731777,0,69.11548634
-118.2890015,33.9201012,610,11798.2,33000,0.132816832,2.57,8,67.13309288,1.091087937,39.33317991,25.46,69.88,4.66,0,61.84,31.27,36.3,71.15,36.7025269,0,52.62,47.38,7.213114754,2.748921208,78.97784491,63.97849462,87.42671822,54.08646261,0,82.19218337
-118.3830032,33.9561996,915,14506.09,56292,0.146765931,2.33,6,66.59554164,1.253077269,26.98165816,22.36,70.97,6.67,13.62,36.5,31.99,39.29,83.39,72.16662497,8.85,43.71,47.43,10.49180328,0,79.50654582,42.54813703,50.18086566,91.19596087,0,23.18542463
-118.3740005,34.1666985,1312,14969.26,36531,0.144095262,1.64,9,66.32975388,0.96238476,39.86746396,4.82,81.68,13.49,53.45,7.14,24.15,32.45,100,86.3522642,61.13,31.55,7.32,4.115853659,61.24340738,68.30312185,69.09227307,45.6529874,93.48374882,0,69.11548634
-118.3040009,33.8111992,1048,8735.628,68594,0.32625016,2.64,6,66.89967708,1.171843767,20.24289266,18.07,61.16,20.77,29.12,2.84,26.32,28.06,26.05,22.80460345,0,98.09,1.91,4.198473282,0,68.06394763,22.23055764,68.95347387,0,0,39.28886277
-118.2850037,33.9201012,525,11992.64,43536,0.141836951,3.24,8,67.14731005,1.098564982,39.33317991,30.28,62.25,7.47,0,53.15,42.97,26.51,71.24,36.7025269,11.62,38.86,49.52,14.66666667,2.748921208,78.97784491,63.97849462,87.42671822,54.08646261,0,82.19218337
-118.3820038,33.9632988,427,7477.762,68068,0.163284154,2.83,6,66.61425323,1.261645079,29.68563531,16.3,64.94,18.76,44.14,1.39,39.64,42.84,23.89,66.86264699,1.41,14.29,84.31,0,3.068563209,80.2366566,42.54813703,87.04003992,88.18239192,0,58.44842786
-118.375,33.9662018,356,4846.569,96111,0.191681969,2.61,6,66.67408342,1.249651909,29.68563531,27.23,60.93,11.84,68.57,0,18.73,38.13,7.3,66.86264699,0,13.2,86.79,12.07865169,3.068563209,80.2366566,42.54813703,87.04003992,88.18239192,0,58.44842786
-118.3980026,33.9749985,222,6648.976,130000,0.089637867,2.68,6,66.52801514,1.322861791,15.66477387,8.05,53.69,38.26,75.5,0,8.72,46.64,7.21,17.22541906,0,0,100,7.657657658,2.093655106,79.24219537,42.54813703,69.11562929,76.03344904,0,23.18542463
-118.401001,33.9771004,520,3732.201,131964,0.325277183,2.33,6,66.51365421,1.34371841,15.66477387,15.73,57.99,26.28,75.21,3.46,4.53,49.25,24.62,17.22541906,9.23,32.11,58.65,4.038461538,2.093655106,79.24219537,42.54813703,69.11562929,76.03344904,0,23.18542463
-118.4000015,33.9669991,476,5638.202,132935,0.208931856,2.47,6,66.49624416,1.330236077,15.66477387,36.08,45.33,18.59,76.32,0,7.39,39.23,13.03,17.22541906,0,11.13,88.86,11.13445378,2.093655106,79.24219537,42.54813703,69.11562929,76.03344904,0,23.18542463
-118.2939987,33.7504997,357,10371.64,22369,0.11598934,3.37,6,66.8053578,1.183366776,44.13617686,35.83,49.29,14.88,23.44,8.89,63.18,26,57.7,71.5911934,0,52.1,47.9,0,0,62.33635448,22.23055764,61.38206312,70.2903124,76.52925532,37.87834264
-118.4329987,34.1834984,578,13532.57,45690,0.108405135,2.54,9,65.92508316,1.19994688,31.8462141,18.95,71.51,9.54,34.01,5.52,41.1,43.47,69.72,74.06805104,4.67,47.23,48.1,7.785467128,63.40099089,65.3449144,69.09227307,58.28863665,15.52540234,0,0
-118.4530029,34.1820984,623,20270.41,36417,0.107693935,3.5,9,65.8255806,1.293387532,44.53958337,29.91,67.29,2.79,8.89,2.79,86.94,8.78,92.94,84.17563172,13.48,64.84,21.67,13.964687,63.67268659,64.84138973,69.09227307,39.1917176,40.24929,0,76.90273288
-118.4550018,34.1851997,678,42825.26,29214,0.052118774,3.29,9,65.80460548,1.298679829,51.99515528,24.55,71.55,3.9,11.69,1.3,84.45,25.92,98.53,92.10657993,2.21,56.49,41.3,4.424778761,64.04027489,64.52668681,69.09227307,61.66895347,65.30451246,71.63120567,91.53687922
