x,y,Households,Population Density (Per Sq. Mile),Median Household Income (In 2010 Inflation Adjusted Dollars),Area (Land),Average Household Size,Climate Zone,Ave Max Temp,PreMax,CES 2.0 Score,% Total Population: Under 18 Years,% Total Population: 18 to 64 Years,% Total Population: 65 and Over,% Total Population: Not Hispanic or Latino: White Alone,% Total Population: Not Hispanic or Latino: Black or African American Alone,% Total Population: Hispanic or Latino,%Unemployed: 16 years and over,% Occupied Housing Units: Renter Occupied,% Low Birth Weight,%Building age: 2000 or later,%Building age: 1960-1999,%Building age: 1959 or earlier,%Vacant Housing Units,% Ozone,% PM2.5,% Drinking Water,% Traffic,% Groundwater Threats,% Imp. Water Bodies,% Solid Waste
-118.3239975,33.7228012,1107,5054.498,95347,0.458007914,2.03,6,67.57756042,67.57756042,12.40011694,10.97,54.26,34.77,76.11,0.6,12.31,53.13174946,8.31,65.93695271,1.08401084,60.79494128,38.12104788,1.445347787,0,60.46072508,22.23055764,22.77659973,15.52540234,48.98049645,0
-118.3040009,33.7328987,564,9209.405,52917,0.11933453,1.95,6,67.57756042,67.57756042,12.77674242,19.65,69.52,10.83,56.6,4.09,30.66,38.76251137,52.3,22.20415311,0,20.74468085,79.25531915,23.40425532,0,61.3796576,22.23055764,22.45228889,5.269801199,0,0
-118.4680023,34.3023987,660,11243.6,52411,0.246184538,4.19,9,67.33963176,67.33963176,46.34855449,36.49,55.09,8.42,3.9,0.61,90.64,58.34537572,54.24,24.3057293,1.666666667,77.12121212,21.21212121,5.151515152,85.87182356,51.06998993,69.09227307,96.53236872,42.50552225,0,71.76021158
-118.288002,33.8834991,497,17920.89,36983,0.090508914,3.26,8,67.80911636,67.80911636,57.67298524,35.14,59.12,5.73,2.28,4.44,84.83,61.03575832,81.29,72.92969727,2.213279678,39.43661972,58.3501006,9.456740443,0,74.60976838,74.56864216,90.68230011,90.31240139,0,95.70966794
-118.2860031,33.9017982,330,3847.813,62875,0.299910656,3.5,8,67.91455688,67.91455688,55.09178134,24.61,61.87,13.52,4.33,22.88,57.11,55.02599653,12.12,89.24193145,0,15.45454545,84.54545455,0,0,76.52316213,74.56864216,92.60321816,87.89839066,0,93.77020276
-118.3590012,34.1666985,484,16877.96,39412,0.087214304,2.53,9,67.39876556,67.39876556,41.34583465,21.4,56.52,22.08,43.82,2.58,42.87,61.41304348,78.1,84.47585689,1.033057851,42.14876033,56.81818182,12.39669421,62.10644079,68.1898288,69.09227307,32.74292129,96.49731777,0,69.11548634
-118.2900009,33.8997002,158,7001.157,61111,0.070416929,3.12,8,67.90124893,67.90124893,55.09178134,22.52,72.01,5.48,7.71,4.67,53.35,52.53549696,0,89.24193145,0,5.063291139,94.93670886,0,0,76.52316213,74.56864216,92.60321816,87.89839066,0,93.77020276
-118.2870026,33.9127998,660,8070.926,35357,0.270724806,3.31,8,67.99600474,67.99600474,56.05335669,36.38,59.45,4.16,0,17.99,74.23,63.798627,65,93.60770578,10.3030303,29.6969697,60,0,0.974908103,78.10926485,74.56864216,87.97555195,69.73808772,0,60.94622392
-118.2979965,34.0091019,309,20198.26,29327,0.059856648,3.91,8,69.09382248,69.09382248,47.78094188,33.42,54.59,11.99,0,36.81,63.19,68.48635236,56.63,94.03302477,0,17.15210356,82.84789644,13.26860841,27.34537318,85.02014099,74.56864216,55.79393788,0,0,0
-118.375,34.1702995,767,13052.18,43953,0.12871411,2.19,9,67.33751202,67.33751202,41.34583465,16.96,81.25,1.79,33.21,10.36,52.68,38.21428571,96.48,84.47585689,42.11212516,31.94263364,25.9452412,19.03520209,62.10644079,68.1898288,69.09227307,32.74292129,96.49731777,0,69.11548634
