rchid,type,parmname,value1
1079,-2,LUIF,3.173702340329e+007
1079,-1,USBP,0.000000000000e+000
1079,-2,LUBP,0.000000000000e+000
1079,-3,PSIF,0.000000000000e+000
1079,-4,PSWD,0.000000000000e+000
1079,-4,PSDT,0.000000000000e+000
1079,0,IVOL,3.173702340329e+007
1079,1,RO,3.200497333775e+007
1079,1,BP,0.000000000000e+000
1081,-1,USIF,0.000000000000e+000
1081,-2,LUIF,1.009105570108e+007
1081,-1,USBP,0.000000000000e+000
1081,-2,LUBP,0.000000000000e+000
1081,-3,PSIF,0.000000000000e+000
1081,-4,PSWD,0.000000000000e+000
1081,-4,PSDT,0.000000000000e+000
1081,0,IVOL,1.009105570108e+007
1081,1,RO,1.016465227325e+007
1081,1,BP,0.000000000000e+000
1082,-1,USIF,0.000000000000e+000
1082,-2,LUIF,5.632112584491e+006
1082,-1,USBP,0.000000000000e+000
1082,-2,LUBP,0.000000000000e+000
1082,-3,PSIF,0.000000000000e+000
1082,-4,PSWD,0.000000000000e+000
1082,-4,PSDT,0.000000000000e+000
1082,0,IVOL,5.632112584491e+006
1082,1,RO,5.692985255919e+006
1082,1,BP,0.000000000000e+000
1085,-1,USIF,0.000000000000e+000
1085,-2,LUIF,3.448949497883e+006
1085,-1,USBP,0.000000000000e+000
1085,-2,LUBP,0.000000000000e+000
1085,-3,PSIF,0.000000000000e+000
1085,-4,PSWD,0.000000000000e+000
1085,-4,PSDT,0.000000000000e+000
1085,0,IVOL,3.448949497883e+006
1085,1,RO,3.448949497883e+006
1085,1,BP,0.000000000000e+000
1086,-1,USIF,0.000000000000e+000
1086,-2,LUIF,1.750519288076e+006
1086,-1,USBP,0.000000000000e+000
1086,-2,LUBP,0.000000000000e+000
1086,-3,PSIF,0.000000000000e+000
1086,-4,PSWD,0.000000000000e+000
1086,-4,PSDT,0.000000000000e+000
1086,0,IVOL,1.750519288076e+006
1086,1,RO,1.750519288076e+006
1086,1,BP,0.000000000000e+000
1087,-1,USIF,0.000000000000e+000
1087,-2,LUIF,1.567018235859e+006
1087,-1,USBP,0.000000000000e+000
1087,-2,LUBP,0.000000000000e+000
1087,-3,PSIF,0.000000000000e+000
1087,-4,PSWD,0.000000000000e+000
1087,-4,PSDT,0.000000000000e+000
1087,0,IVOL,1.567018235859e+006
1087,1,RO,1.567018235859e+006
1087,1,BP,0.000000000000e+000
1088,-1,USIF,0.000000000000e+000
1088,-2,LUIF,1.392209592225e+008
1088,-1,USBP,0.000000000000e+000
1088,-2,LUBP,0.000000000000e+000
1088,-3,PSIF,0.000000000000e+000
1088,-4,PSWD,0.000000000000e+000
1088,-4,PSDT,0.000000000000e+000
1088,0,IVOL,1.392209592225e+008
1088,1,RO,1.392209592225e+008
1088,1,BP,0.000000000000e+000
1089,-1,USIF,0.000000000000e+000
1089,-2,LUIF,6.344941053400e+005
1089,-1,USBP,0.000000000000e+000
1089,-2,LUBP,0.000000000000e+000
1089,-3,PSIF,0.000000000000e+000
1089,-4,PSWD,0.000000000000e+000
1089,-4,PSDT,0.000000000000e+000
1089,0,IVOL,6.344941053400e+005
1089,1,RO,6.344941053400e+005
1089,1,BP,0.000000000000e+000
1091,-1,USIF,0.000000000000e+000
1091,-2,LUIF,5.859254680540e+007
1091,-1,USBP,0.000000000000e+000
1091,-2,LUBP,0.000000000000e+000
1091,-3,PSIF,0.000000000000e+000
1091,-4,PSWD,0.000000000000e+000
1091,-4,PSDT,0.000000000000e+000
1091,0,IVOL,5.859254680540e+007
1091,1,RO,5.859254680540e+007
1091,1,BP,0.000000000000e+000
1092,-1,USIF,0.000000000000e+000
1092,-2,LUIF,1.295935810033e+007
1092,-1,USBP,0.000000000000e+000
1092,-2,LUBP,0.000000000000e+000
1092,-3,PSIF,0.000000000000e+000
1092,-4,PSWD,0.000000000000e+000
1092,-4,PSDT,0.000000000000e+000
1092,0,IVOL,1.295935810033e+007
1092,1,RO,1.295935810033e+007
1092,1,BP,0.000000000000e+000
1094,-1,USIF,0.000000000000e+000
1094,-2,LUIF,3.087401694353e+007
1094,-1,USBP,0.000000000000e+000
1094,-2,LUBP,0.000000000000e+000
1094,-3,PSIF,0.000000000000e+000
1094,-4,PSWD,0.000000000000e+000
1094,-4,PSDT,0.000000000000e+000
1094,0,IVOL,3.087401694353e+007
1094,1,RO,3.117495959303e+007
1094,1,BP,0.000000000000e+000
1095,-1,USIF,0.000000000000e+000
1095,-2,LUIF,1.230071707437e+007
1095,-1,USBP,0.000000000000e+000
1095,-2,LUBP,0.000000000000e+000
1095,-3,PSIF,0.000000000000e+000
1095,-4,PSWD,0.000000000000e+000
1095,-4,PSDT,0.000000000000e+000
1095,0,IVOL,1.230071707437e+007
1095,1,RO,1.230071707437e+007
1095,1,BP,0.000000000000e+000
1096,-1,USIF,0.000000000000e+000
1096,-2,LUIF,5.652807514828e+006
1096,-1,USBP,0.000000000000e+000
1096,-2,LUBP,0.000000000000e+000
1096,-3,PSIF,0.000000000000e+000
1096,-4,PSWD,0.000000000000e+000
1096,-4,PSDT,0.000000000000e+000
1096,0,IVOL,5.652807514828e+006
1096,1,RO,5.652807514828e+006
1096,1,BP,0.000000000000e+000
1098,-1,USIF,0.000000000000e+000
1098,-2,LUIF,4.681688129544e+006
1098,-1,USBP,0.000000000000e+000
1098,-2,LUBP,0.000000000000e+000
1098,-3,PSIF,0.000000000000e+000
1098,-4,PSWD,0.000000000000e+000
1098,-4,PSDT,0.000000000000e+000
1098,0,IVOL,4.681688129544e+006
1098,1,RO,4.681688129544e+006
1098,1,BP,0.000000000000e+000
1099,-1,USIF,0.000000000000e+000
1099,-2,LUIF,9.952538201186e+006
1099,-1,USBP,0.000000000000e+000
1099,-2,LUBP,0.000000000000e+000
1099,-3,PSIF,0.000000000000e+000
1099,-4,PSWD,0.000000000000e+000
1099,-4,PSDT,0.000000000000e+000
1099,0,IVOL,9.952538201186e+006
1099,1,RO,9.952538201186e+006
1099,1,BP,0.000000000000e+000
1101,-1,USIF,0.000000000000e+000
1101,-2,LUIF,1.581600842368e+007
1101,-1,USBP,0.000000000000e+000
1101,-2,LUBP,0.000000000000e+000
1101,-3,PSIF,0.000000000000e+000
1101,-4,PSWD,0.000000000000e+000
1101,-4,PSDT,0.000000000000e+000
1101,0,IVOL,1.581600842368e+007
1101,1,RO,1.601218413316e+007
1101,1,BP,0.000000000000e+000
1104,-1,USIF,0.000000000000e+000
1104,-2,LUIF,4.121625635026e+007
1104,-1,USBP,0.000000000000e+000
1104,-2,LUBP,0.000000000000e+000
1104,-3,PSIF,0.000000000000e+000
1104,-4,PSWD,0.000000000000e+000
1104,-4,PSDT,0.000000000000e+000
1104,0,IVOL,4.121625635026e+007
1104,1,RO,4.121625635026e+007
1104,1,BP,0.000000000000e+000
1106,-1,USIF,0.000000000000e+000
1106,-2,LUIF,2.510269110144e+007
1106,-1,USBP,0.000000000000e+000
1106,-2,LUBP,0.000000000000e+000
1106,-3,PSIF,0.000000000000e+000
1106,-4,PSWD,0.000000000000e+000
1106,-4,PSDT,0.000000000000e+000
1106,0,IVOL,2.510269110144e+007
1106,1,RO,2.510269110144e+007
1106,1,BP,0.000000000000e+000
1108,-1,USIF,0.000000000000e+000
1108,-2,LUIF,4.764549363510e+007
1108,-1,USBP,0.000000000000e+000
1108,-2,LUBP,0.000000000000e+000
1108,-3,PSIF,0.000000000000e+000
1108,-4,PSWD,0.000000000000e+000
1108,-4,PSDT,0.000000000000e+000
1108,0,IVOL,4.764549363510e+007
1108,1,RO,4.764549363510e+007
1108,1,BP,0.000000000000e+000
1109,-1,USIF,0.000000000000e+000
1109,-2,LUIF,2.773562719070e+007
1109,-1,USBP,0.000000000000e+000
1109,-2,LUBP,0.000000000000e+000
